TAG,QUADNAME,STEMTAG,SPCODE,QX,QY,BREAKDOWNSTATUS.2014,BDS.2021,PIECE.2014,PIECE.2021,INTEG.2021,DECAYCLASSORIG,DECAYCLASS.2021,GC.2021,HEIGHT.2014,HEIGHT.2021,TOPDIAM.2014,TOPDIAM.2021,DBH,DBH.2021,LENGTH.2014,LENGTH.2021,ANGLE,DIRECTION,NOTES.2014
,1168,NA,NA,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,NA,NA,3.5,NA,NA,,
100128,1022,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,11.3,NA,9.5,NA,NA,,
100266,1033,NA,LIST2,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,10.2,NA,,NA,NA,,
100286,1034,NA,QURU,NA,NA,standing dead,,A,,,2,NA,,NA,NA,NA,NA,56,NA,,NA,NA,,
100301,1045,NA,UNKN,NA,NA,standing broken,,C,,,3,NA,,NA,NA,NA,NA,42,NA,3.5,NA,NA,,
100301,1035,NA,UNKN,NA,NA,standing broken,,A,,,3,NA,,21,NA,54.1,NA,108.1,NA,,NA,NA,,
100301,1045,NA,UNKN,NA,NA,standing broken,,B,,,3,NA,,NA,NA,NA,NA,54.1,NA,6,NA,NA,,
100433,9410,NA,TORA2,NA,NA,lying broken,,B,,,3,NA,,NA,NA,NA,NA,23.8,NA,4.3,NA,NA,,
100433,1041,NA,TORA2,NA,NA,lying broken,,A,,,3,NA,,NA,NA,NA,NA,27.5,NA,9.2,NA,NA,,
100544,1051,NA,LIBE3,NA,NA,standing dead,,A,,,3,NA,,NA,NA,NA,NA,6.2,NA,,NA,NA,,
10069,127,NA,UNKN,NA,NA,standing dead,,A,,,3,NA,,NA,NA,NA,NA,61.2,NA,,NA,NA,,
100715,1054,NA,UNKN,NA,NA,lying whole,,A,,,3,NA,,NA,NA,NA,NA,31.2,NA,1.5,NA,NA,,
100754,1056,NA,CACA18,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,6.5,NA,4.1,NA,NA,,
100771,1058,NA,QUVE,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,81.6,NA,7.2,NA,NA,,
100772,1069,NA,NA,NA,NA,lying whole,,B,,,2,NA,,NA,NA,NA,NA,65.8,NA,,NA,NA,,
100773,1069,NA,FAGR,NA,NA,lying whole,,C,,,2,NA,,NA,NA,NA,NA,65.8,NA,,NA,NA,,
100774,1069,NA,FAGR,NA,NA,lying whole,,D,,,2,NA,,NA,NA,NA,NA,65.8,NA,,NA,NA,,
100781,1059,NA,COFL2,NA,NA,lying whole,,A,,,2,NA,,NA,NA,NA,NA,8.5,NA,4.7,NA,NA,,
100782,1059,NA,QURU,NA,NA,standing broken,,A,,,2,NA,,17,NA,23.3,NA,44.7,NA,,NA,NA,,
100782,1059,NA,QURU,NA,NA,standing broken,,B,,,2,NA,,NA,NA,NA,NA,23.3,NA,6,NA,NA,,
