"STEMTAG","PIECETAG","SPCODE","DC.2014","DC.2017","DC.2021"
"30050","30050A","LITU","2","4",5
"30154","30154A","LITU","3","3",4
"30154","30154B","LITU","3","4",4
"30154","30154C","LITU","3","4",4
"40501","40501D","LITU","2","5",NA
"40501","40501E","LITU","2","5",NA
"40511","40511A","LITU","2","4",4
"40511","40511B","LITU","2","4",NA
"41135","41135A","LITU","2",NA,4
"60054","60054A","LITU","3","5",NA
"60393","60393A","LITU","2","3",3
"101443","101443A","LITU","1","2",3
"150650","150650A","LITU","2","3",3
"30606","30606A","LITU","3","4",4
"30606","30606B","LITU","3",NA,NA
"30606","30606C","LITU","3","4",NA
"41459","41459A","LITU","3",NA,5
"50898","50898A","LITU","3","3",4
"132472","132472A","LITU","1","4",4
"142379","142379A","LITU","2","3",3
"10642","10642A","LITU",NA,"4",4
"20175","20175A","LITU",NA,"1",1
"30154","30154D","LITU",NA,"4",NA
"40511","40511C","LITU",NA,"4",NA
"40970","40970A","LITU",NA,"1",2
"42706","42706A","LITU",NA,"4",5
"50377","50377A","LITU",NA,"1",2
"60199","60199A","LITU",NA,"3",3
"60470","60470A","LITU",NA,"2",3
"81053","81053A","LITU",NA,"3",3
"92297","92297B","LITU",NA,"2",3
"92297","92297A","LITU",NA,"2",3
"100819","100819B","LITU",NA,"1",2
"100819","100819A","LITU",NA,"1",2
"110434","110434A","LITU",NA,"1",1
"110435","110435A","LITU",NA,"1",2
"131260","131260A","LITU",NA,"3",5
"132472","132472B","LITU",NA,"4",5
"134046","134046B","LITU",NA,"4",2
"134046","134046A","LITU",NA,"3",2
"142020","142020A","LITU",NA,"1",2
"142388","142388A","LITU",NA,"1",2
"150005","150005A","LITU",NA,"2",4
"152518","152518A","LITU",NA,"3",2
"152539","152539A","LITU",NA,"3",3
"152539","152539A","LITU",NA,NA,3
"160653","160653A","LITU",NA,NA,NA
"161410","161410A","LITU",NA,"3",4
"161427","161427A","LITU",NA,"1",2
"161429","161429A","LITU",NA,"1",2
"51238","51238A","LITU",NA,NA,NA
"71065","71065A","LITU",NA,NA,NA
"80741","80741A","LITU",NA,NA,NA
"92271","92271A","LITU",NA,NA,NA
"151072","151072A","LITU",NA,NA,2
"163151","163151A","LITU",NA,NA,NA
"160231","160231A","LITU",NA,NA,NA
"21158","21158A","LITU",NA,NA,NA
"160505","160505A","LITU",NA,NA,1
"31564","31564A","LITU",NA,NA,1
"10470","10470A","LIST2","1","2",3
"20145","20145A","LIST2","1","4",5
"20820","20820A","LIST2","2","3",3
"20820","20820B","LIST2","2","3",3
"20980","20980A","LIST2","2","4",NA
"30624","30624A","LIST2","1","2",3
"30624","30624B","LIST2","1","2",4
"80339","80339A","LIST2","1","3",4
"80528","80528A","LIST2","2","2",3
"80671","80671A","LIST2","2",NA,NA
"90930","90930A","LIST2","2","4",4
"90105","90105A","LIST2","3","3",NA
"130445","130445A","LIST2","3","4",4
"130429","130429A","LIST2","2",NA,NA
"130003","130003A","LIST2","2","4",5
"140676","140676A","LIST2","2",NA,NA
"141521","141521A","LIST2","2","4",2
"142324","142324A","LIST2","3","3",4
"150944","150944A","LIST2","2","4",NA
"152925","152925A","LIST2","3",NA,NA
"150404","150404A","LIST2","1","2",NA
"150056","150056A","LIST2","2","3",4
"20587","20587A","LIST2","2","4",3
"60291","60291A","LIST2","2","4",4
"131333","131333A","LIST2","3","4",5
"10350","10350A","LIST2",NA,"2",4
"10973","10973A","LIST2",NA,"2",2
"20811","20811A","LIST2",NA,"3",3
"30242","30242A","LIST2",NA,"2",3
"30438","30438A","LIST2",NA,"1",3
"31089","31089B","LIST2",NA,"1",4
"31089","31089A","LIST2",NA,"1",3
"41922","41922C","LIST2",NA,"2",NA
"41922","41922B","LIST2",NA,"2",5
"41922","41922A","LIST2",NA,"2",3
"43741","43741A","LIST2",NA,"3",3
"50750","50750A","LIST2",NA,"3",3
"50842","50842A","LIST2",NA,NA,2
"53505","53505A","LIST2",NA,"4",4
"53830","53830A","LIST2",NA,"4",NA
"53831","53831A","LIST2",NA,"4",4
"60114","60114A","LIST2",NA,"4",NA
"60116","60116A","LIST2",NA,"1",1
"60223","60223A","LIST2",NA,"1",2
"70413","70413B","LIST2",NA,"3",4
"70413","70413A","LIST2",NA,"3",4
"80339","80339B","LIST2",NA,"4",4
"80339","80339C","LIST2",NA,"3",NA
"81292","81292A","LIST2",NA,"2",2
"90001","90001B","LIST2",NA,"2",NA
"90001","90001A","LIST2",NA,"2",3
"90003","90003A","LIST2",NA,"2",NA
"90019","90019B","LIST2",NA,"2",NA
"90019","90019A","LIST2",NA,"3",NA
"90099","90099A","LIST2",NA,"3",NA
"90203","90203A","LIST2",NA,"3",3
"90230","90230A","LIST2",NA,"4",NA
"90847","90847A","LIST2",NA,"2",2
"90847","90847A","LIST2",NA,NA,4
"90851","90851A","LIST2",NA,"2",3
"90920","90920A","LIST2",NA,"3",3
"100111","100111A","LIST2",NA,"2",2
"101788","101788A","LIST2",NA,NA,NA
"102415","102415A","LIST2",NA,"2",2
"130054","130054A","LIST2",NA,"1",3
"130211","130211A","LIST2",NA,"2",4
"130346","130346A","LIST2",NA,"3",3
"130346","130346A","LIST2",NA,NA,3
"130428","130428A","LIST2",NA,NA,NA
"130938","130938A","LIST2",NA,"2",3
"131163","131163B","LIST2",NA,"3",2
"131163","131163A","LIST2",NA,"3",3
"141585","141585A","LIST2",NA,"1",1
"142037","142037A","LIST2",NA,"3",3
"142197","142197A","LIST2",NA,"1",2
"142524","142524A","LIST2",NA,"2",3
"150265","150265A","LIST2",NA,"1",2
"161938","161938A","LIST2",NA,NA,NA
"162074","162074A","LIST2",NA,"2",3
"10433","10433A","LIST2",NA,NA,1
"70685","70685A","LIST2",NA,NA,NA
"90218","90218A","LIST2",NA,NA,NA
"42339","42339A","LIST2",NA,NA,1
"130293","130293A","LIST2",NA,NA,NA
"130975","130975A","LIST2",NA,NA,NA
"130975","130975B","LIST2",NA,NA,NA
"142406","142406A","LIST2",NA,NA,NA
"150094","150094A","LIST2",NA,NA,2
"160909","160909A","LIST2",NA,NA,NA
"31496","31496A","LIST2",NA,NA,1
"90007","90007A","LIST2",NA,NA,2
"90023","90023A","LIST2",NA,NA,NA
"101495","101495A","LIST2",NA,NA,NA
"112168","112168A","LIST2",NA,NA,4
"10225","10225A","LIST2",NA,NA,2
"20500","20500A","LIST2",NA,NA,1
"20500","20500B","LIST2",NA,NA,1
"91588","91588A","LIST2",NA,NA,1
"91186","91186A","LIST2",NA,NA,2
"90665","90665A","LIST2",NA,NA,2
"140877","140877A","LIST2",NA,NA,4
"43653","43653A","LIST2",NA,NA,1
"151429","151429A","LIST2",NA,NA,1
