QUADNAME,TAG,STEMTAG,SPCODE,QX,QY,DBH,BDS.2021,PIECE.2021,INTEGRITY.2021,DECAYCLASS.2021,GC.2021,HEIGHT.2021,TOPDIAM.2021,DBH.2021,LENGTH,ANGLE,DIRECTION,HOM,CODES.2019,PX,PY
113,10114,10114,FRPE,3.2,6.5,14.5,,,,,,,,,,,,1.3,DS,3.2,26.5
113,11140,11140,FRPE,0.4,1.8,24.3,,,,,,,,,,,,1.3,DS;L,0.4,21.8
114,10116,10116,FRPE,3,2.8,15.8,,,,,,,,,,,,1.3,DS,3,32.8
114,10118,10118,FRPE,3,2.8,16.5,,,,,,,,,,,,1.3,DS,3,32.8
115,10135,10135,UNKN,10,6,74.8,,,,,,,,,,,,1.3,DS;X;MT,10,46
121,10003,10003,FRPE,5.6,7.1,21.4,,,,,,,,,,,,1.3,DS,15.6,7.1
122,10006,10006,ACRU,4.5,9.2,11.5,,,,,,,,,,,,1.3,DS;CWD,14.5,19.2
122,10291,10291,FRPE,6.4,1.5,34.1,,,,,,,,,,,,1.3,DS,16.4,11.5
122,10292,10292,FRPE,9.2,1.1,37.1,,,,,,,,,,,,1.3,DS,19.2,11.1
122,10297,10297,FRPE,9.5,7.7,26.2,,,,,,,,,,,,1.3,DS,19.5,17.7
122,10299,10299,FRPE,6.4,6.3,28.2,,,,,,,,,,,,1.3,DS;IR,16.4,16.3
123,10008,10008,FRPE,4.6,0.6,23.1,,,,,,,,,,,,1.3,DS,14.6,20.6
123,10009,10009,FRPE,0.5,3.5,27.4,,,,,,,,,,,,1.3,DS,10.5,23.5
126,10033,10033,FRPE,8.9,1.2,20,,,,,,,,,,,,1.3,DS;XY,18.9,51.2
132,10206,10206,FRPE,1.3,2.4,17.9,,,,,,,,,,,,1.3,DS,21.3,12.4
132,10208,10208,FRPE,7,3.3,11.1,,,,,,,,,,,,1.3,DS,27,13.3
132,10209,10209,FRPE,5.7,5.8,19,,,,,,,,,,,,1.3,DS;RS,25.7,15.8
133,11177,11177,FRPE,0.7,3.4,28.3,,,,,,,,,,,,1.3,DS;V50,20.7,23.4
133,11181,11181,FRPE,3.9,3.2,25.2,,,,,,,,,,,,1.3,DS,23.9,23.2
134,10215,10215,FRPE,5.7,1.6,36,,,,,,,,,,,,1.3,DS;XY,25.7,31.6
134,10218,10218,FRPE,3.7,9.9,25.8,,,,,,,,,,,,1.3,DS,23.7,39.9
135,10219,10219,FRPE,7.4,2.2,35.8,,,,,,,,,,,,1.3,DS,27.4,42.2
