QUADNAME,TAG,STEMTAG,SPCODE,QX,QY,DBH.2019,BDS.2021,PIECE.2021,INTEGRITY.2021,DECAYCLASS.2021,GC.2021,HEIGHT.2021,TOPDIAM.2021,DBH.2021,LENGTH,ANGLE,DIRECTION,HOM,CODES.2019,PX,PY,Notes2021
3106,,31496,,,,,Log,A,,1,,,13.4,35.3,23.4,,,,,,,
111,10101,10101,ACRU,0.3,2.1,29.1,,,,,,,,,,,,1.3,LI;MT,0.3,2.1,
111,10102,10102,ACRU,0.4,1.7,15.1,,,,,,,,,,,,1.3,LI;M;MT,0.4,1.7,
111,10109,10109,FRPE,8.5,7,12.4,,,,,,,,,,,,1.3,LI,8.5,7,
111,10110,10110,FRPE,9.5,7.8,18.4,,,,,,,,,,,,1.3,LI,9.5,7.8,
111,10111,10111,FRPE,1.4,8.5,16,,,,,,,,,,,,1.3,LI;L;V50;M,1.4,8.5,
113,10113,10113,CEOC2,7.5,4.5,18.6,,,,,,,,,,,,1.3,LI;I,7.5,24.5,
113,10115,10115,FRPE,0.2,9.3,21.9,,,,,,,,,,,,1.3,LI;V50,0.2,29.3,
113,11140,11141,FRPE,0.4,1.8,13.9,,,,,,,,,,,,1.3,LI;V50,0.4,21.8,
114,10119,10119,QUMI,8.4,8,12.6,,,,,,,,,,,,1.3,LI,8.4,38,
114,10121,10121,FRPE,7.2,4.9,29.8,,,,,,,,,,,,1.3,LI,7.2,34.9,
115,10124,10124,QUMI,7.5,1.8,17.6,,,,,,,,,,,,1.3,LI;XY,7.5,41.8,
115,10125,10125,NYSY,9,1,13.6,,,,,,,,,,,,1.3,LI;XY,9,41,
115,10126,10126,LIST2,5,3.4,32.7,,,,,,,,,,,,1.3,LI,5,43.4,
115,10127,10127,QUMI,4,5.5,76.3,,,,,,,,,,,,1.3,LI,4,45.5,
116,10140,10140,NYSY,1.5,2.8,14.9,,,,,,,,,,,,1.3,LI,1.5,52.8,
116,10155,10155,FAGR,6.5,0.8,33.6,,,,,,,,,,,,1.3,LI;M,6.5,50.8,
116,10158,10158,LIST2,7.9,6,14.7,,,,,,,,,,,,1.3,LI,7.9,56,
117,10172,10172,QUMI,1.9,4.8,40.7,,,,,,,,,,,,1.3,LI;L,1.9,64.8,
117,10179,10179,FAGR,1.6,10,34.8,,,,,,,,,,,,1.3,LI,1.6,70,
