QUADNAME,TAG,STEMTAG,SPCODE,QX,QY,BREAKDOWNSTATUS.2014,BDS.2021,PIECE.2014,PIECE.2021,INTEG.2021,DECAYCLASSORIG,DECAYCLASS.2021,GC.2021,HEIGHT.2014,HEIGHT.2021,TOPDIAM.2014,TOPDIAM.2021,DBH,DBH.2021,LENGTH.2014,LENGTH.2021,ANGLE,DIRECTION,NOTES.2014
114,10121,,,,,live buds,,A,,,1,,,,,,,29.6,,8.7,,,,live buds
114,10117,,,,,live buds,,A,,,1,,,,,,,23.8,,8.7,,,,live buds
116,no tag,,,,,lying whole,,A,,,3,,,,,,,53.1,,28.3,,,,
118,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
119,10199,,,,,lying broken,,A,,,2,,,,,,,16.2,,8.4,,,,
122,no tag,,,,,lying whole,,A,,,3,,,,,,,47,,11.4,,,,
126,no tag,,,,,lying whole,,A,,,3,,,,,,,41.3,,16,,,,
127,10069,,,,,standing dead,,A,,,3,,,,,,,61.2,,,,,,
127,no tag,,,,,lying whole,,A,,,3,,,,,,,21,,6.7,,,,
127,no tag,,,,,lying whole,,A,,,3,,,,,,,39,,10.4,,,,
129,10277,,,,,standing broken,,B,,,2,,,,,,,5.3,,1.6,,,,
129,10199,,,,,lying broken,,B,,,2,,,,,,,12.2,,1.4,,,,
129,10199,,,,,lying broken,,C,,,2,,,,,,,11.7,,2,,,,
133,10213,,,,,standing dead,,A,,,2,,,,,,,30.9,,,,,,
134,10216,,,,,standing dead,,A,,,2,,,,,,,15.7,,,,,,
135,10220,,,,,standing broken,,A,,,3,,,2.5,,16.3,,20.7,,,,,,
135,10220,,,,,standing broken,,B,,,3,,,,,,,16.3,,5.4,,,,
136,no tag,,,,,lying whole,,A,,,3,,,,,,,12.5,,2.5,,,,
138,no tag,,,,,lying whole,,A,,,3,,,,,,,43.6,,21.5,,,,
138,no tag,,,,,lying whole,,A,,,3,,,,,,,35,,17.9,,,,
138,no tag,,,,,lying whole,,A,,,3,,,,,,,27.7,,12.4,,,,
138,no tag,,,,,lying whole,,A,,,3,,,,,,,34.9,,19.5,,,,
139,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
139,no tag,,,,,lying whole,,A,,,2,,,,,,,7.6,,5.9,,,,
141,10302,,,,,standing broken,,A,,,3,,,6.1,,25.3,,39.4,,,,,,
141,10302,,,,,standing broken,,B,,,3,,,,,,,25.3,,7.8,,,,
141,10304,,,,,standing dead,,A,,,3,,,,,,,41,,,,,,
142,no tag,,,,,stump,,A,,,3,,,,,,,,,,,,,
142,10312,,,,,standing broken,,A,,,3,,,7.3,,24.1,,38,,,,,,
142,10312,,,,,standing broken,,B,,,3,,,,,,,24.1,,7.7,,,,
144,10323,,,,,lying whole,,A,,,2,,,,,,,12.6,,3.2,,,,
145,10337,,,,,stump,,A,,,3,,,,,,,,,,,,,
146,no tag,,,,,lying whole,,A,,,3,,,,,,,18,,7.4,,,,
