tag,h,x,y,quadrat,bottom.corrx,bottom.corry,top.corrx,top.corry,species,sp.num,stem.id,piece.id,windthrow,cut,decay,type,dbh,ht.m,top.dbh,end.dbh,length,notes,
10220,1,3,5,135,26.2,43.6,,,,,,A,N,N,3,standing broken,20.7,2.5,16.3,,,,
10220,1,3,5,135,25.2,43.6,20.1,46.1,,,,B,N,N,3,standing broken,16.3,,,9.8,5.4,,
10121,1,1,4,114,7.1,34.8,7.4,25.1,,,,A,W,N,1,live buds,29.6,,,,8.7,live buds,
10117,1,1,4,114,2.3,33.4,11.1,33.6,,,,A,W,N,1,live buds,23.8,,,11.3,8.7,live buds,
10216,1,3,4,134,23.7,31.8,,,,,,A,N,N,2,standing dead,15.7,,,,,,
10213,1,3,3,133,27,27.1,,,,,,A,N,N,2,standing dead,30.9,,,,,,
10323,1,4,4,144,38.6,32.3,37.2,35.4,,,,A,N,N,2,lying whole,12.6,,,8,3.2,,
10337,1,4,5,145,38.6,44.2,,,,,,A,N,N,3,stump,,,,,,,
10430,1,5,3,153,40.7,26.2,23.3,35.8,,,,A,W,N,1,live buds,30,,,11.3,18.7,live buds,
no tag,1,2,2,122,16.7,19.1,5.1,16.9,,,,A,N,N,3,lying whole,47,,,19.4,11.4,,
10302,1,4,1,141,34.8,3.8,,,,,,A,N,N,3,standing broken,39.4,6.1,25.3,,,,
10302,1,4,1,141,36.4,0.7,44.6,0.8,,,,B,N,N,3,standing broken,25.3,,,23.3,7.8,,
10304,1,4,1,141,33,1.5,,,,,,A,N,N,3,standing dead,41,,,,,,
10408,1,5,1,151,45.7,2.1,,,,,,A,N,N,3,standing broken,30,4.6,28,,,,
10408,1,5,1,151,43.2,1.9,45.3,19.9,,,,B,N,N,3,standing broken,28,,,11.1,17.1,,
no tag,1,4,2,142,39.3,14.5,,,,,,A,N,N,3,stump,,,,,,,
10312,1,4,2,142,37.1,15.6,,,,,,A,N,N,3,standing broken,38,7.3,24.1,,,,
10312,1,4,2,142,37.5,18.1,45.3,18.3,,,,B,N,N,3,standing broken,24.1,,,15.3,7.7,,
no tag,1,5,3,153,43.8,20.5,,,,,,A,N,N,3,stump,,,,,,,
10426,1,5,3,153,40.5,26.2,,,,,,A,W,N,1,live buds,,,,,,,
10425,1,5,3,153,46.9,25.8,46.2,35.9,,,,A,N,N,3,lying whole,59.3,,,50.6,9.4,,
10453,1,5,5,155,48.1,47.9,,,,,,A,N,N,3,standing broken,31.5,3,27,,,,
10453,1,5,5,155,46.8,48.2,37.1,48.8,,,,B,N,N,3,standing broken,27,,,15.7,9.4,,
