"","X","PIECETAG","STEMTAG","QUADNAME","QX.x","QY.x","SPCODE","BDS.2014","BDS.2017","BDS.2021","DC.2014","DC.2017","DC.2021","TOPDIAM.2014","TOPDIAM.2017","TOPDIAM.2021","DBH.2014","DBH.x","DBH.2017","DBH.y","DBH.2019","DBH.2021","LENGTH.2014","LENGTH.2017","LENGTH.2021","HEIGHT.2014","HEIGHT.2017","HEIGHT.2021","BDS.2014_new","BDS.2017_new","BDS.2021_new","DC.2017_3","DC.2021_3"
"1",1,"100128A",100128,1022,NA,NA,"COFL2","lying whole",NA,NA,2,NA,NA,NA,NA,NA,11.3,NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"2",2,"100266A",100266,1033,NA,NA,"LIST2","standing dead",NA,NA,2,NA,NA,NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"3",3,"100286A",100286,1034,7.2,7.3,"QURU","standing dead","Log","Log",2,3,3,NA,NA,NA,56,54.3,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,"snag","log","log",2,2
"4",4,"100301C",100301,1045,NA,NA,"UNKN","standing broken",NA,NA,3,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"5",5,"100301A",100301,1035,6.3,2.8,"UNKN","standing broken","Log","Log",3,3,3,54.1,NA,NA,108.1,108.4,NA,NA,NA,NA,NA,17,NA,21,NA,NA,"snag","log","log",2,2
"6",6,"100301B",100301,1045,NA,NA,"UNKN","standing broken",NA,NA,3,NA,NA,NA,NA,NA,54.1,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"7",7,"100433B",100433,9410,NA,NA,"TORA2","lying broken",NA,NA,3,NA,NA,NA,NA,NA,23.8,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"8",8,"100433A",100433,1041,NA,NA,"TORA2","lying broken",NA,NA,3,NA,NA,NA,NA,NA,27.5,NA,NA,NA,NA,NA,9.2,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"9",9,"100544A",100544,1051,NA,NA,"LIBE3","standing dead",NA,NA,3,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"10",10,"10069A",10069,127,4.9,6.3,"UNKN","standing dead","Log","Log",3,3,3,NA,NA,NA,61.2,62.2,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,"snag","log","log",2,2
