                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  08/03/2021 12:46:53.216,2.10E+00,0.00E+00,1.94E+04,0.00E+00,3.98E+02,0.00E+00,2.15E+00,0.00E+00,4.05E+02,0.00E+00,1.40E+02,0.00E+00,2.32E+01,0.00E+00,2.27E+01,0.00E+00,1.01E+01,0.00E+00,7.27E+00,0.00E+00,3,9,               
  08/03/2021 12:46:58.099,2.11E+00,8.37E-04,1.94E+04,8.68E+01,3.97E+02,1.22E-01,2.15E+00,9.31E-04,4.05E+02,1.51E-01,1.40E+02,1.73E-02,2.32E+01,7.35E-03,2.28E+01,2.31E-02,1.01E+01,2.80E-03,7.27E+00,8.34E-04,3,10,               
  08/03/2021 12:47:02.984,2.11E+00,9.11E-04,1.93E+04,1.27E+02,4.00E+02,7.44E+00,2.15E+00,1.09E-03,4.08E+02,7.64E+00,1.40E+02,9.98E-03,2.32E+01,7.30E-03,2.28E+01,2.40E-02,1.01E+01,2.13E-03,7.28E+00,2.19E-03,3,10,               
  08/03/2021 12:47:07.869,2.13E+00,1.03E-02,1.98E+04,1.39E+02,5.76E+02,9.64E+01,2.17E+00,1.08E-02,5.87E+02,9.84E+01,1.40E+02,1.55E-02,2.32E+01,2.72E-03,2.29E+01,2.27E-02,1.01E+01,8.27E-04,7.27E+00,1.20E-03,3,11,               
  08/03/2021 12:47:12.755,2.15E+00,5.78E-03,1.95E+04,1.30E+02,8.23E+02,4.51E+01,2.19E+00,5.61E-03,8.39E+02,4.59E+01,1.40E+02,2.10E-02,2.32E+01,7.75E-03,2.30E+01,2.10E-02,1.01E+01,2.46E-03,7.28E+00,2.70E-03,3,12,               
  08/03/2021 12:47:17.639,2.15E+00,8.11E-03,1.93E+04,8.84E+01,8.20E+02,7.02E+01,2.19E+00,8.12E-03,8.36E+02,7.16E+01,1.40E+02,1.47E-02,2.32E+01,4.22E-03,2.30E+01,2.07E-02,1.01E+01,3.57E-03,7.28E+00,1.40E-03,3,12,               
  08/03/2021 12:47:22.523,2.13E+00,6.55E-03,1.97E+04,7.58E+01,5.91E+02,5.72E+01,2.17E+00,6.52E-03,6.03E+02,5.83E+01,1.40E+02,1.65E-02,2.32E+01,6.31E-03,2.31E+01,2.05E-02,1.01E+01,1.76E-03,7.28E+00,1.14E-03,3,15,               
  08/03/2021 12:47:27.408,2.11E+00,1.50E-03,1.98E+04,5.88E+01,4.73E+02,2.20E+01,2.16E+00,1.63E-03,4.83E+02,2.25E+01,1.40E+02,8.91E-03,2.33E+01,2.55E-03,2.32E+01,2.18E-02,1.01E+01,2.64E-03,7.28E+00,1.75E-03,3,1,               
  08/03/2021 12:47:32.293,2.11E+00,1.34E-03,1.95E+04,1.04E+02,4.27E+02,8.69E+00,2.15E+00,1.57E-03,4.35E+02,8.91E+00,1.40E+02,1.84E-02,2.33E+01,4.69E-03,2.33E+01,2.14E-02,1.01E+01,1.14E-03,7.28E+00,1.94E-03,3,2,               
  08/03/2021 12:47:37.177,2.11E+00,1.40E-03,1.92E+04,9.01E+01,4.08E+02,3.45E+00,2.15E+00,1.53E-03,4.16E+02,3.56E+00,1.40E+02,1.80E-02,2.33E+01,1.35E-03,2.33E+01,2.00E-02,1.01E+01,2.16E-03,7.28E+00,6.75E-04,3,3,               
  08/03/2021 12:47:42.062,2.11E+00,6.62E-04,1.90E+04,5.35E+01,4.00E+02,2.11E+00,2.15E+00,7.03E-04,4.08E+02,2.17E+00,1.40E+02,1.47E-02,2.33E+01,6.32E-04,2.34E+01,1.91E-02,1.01E+01,1.71E-03,7.28E+00,1.72E-03,3,4,               
  08/03/2021 12:47:46.947,2.11E+00,7.72E-04,1.88E+04,1.22E+02,3.98E+02,2.92E-01,2.15E+00,8.99E-04,4.05E+02,3.30E-01,1.40E+02,1.66E-02,2.33E+01,1.38E-03,2.34E+01,2.00E-02,1.01E+01,2.46E-03,7.28E+00,6.56E-04,3,5,               
  08/03/2021 12:47:51.832,2.11E+00,6.63E-04,1.85E+04,9.09E+01,4.13E+02,5.76E+00,2.15E+00,6.83E-04,4.21E+02,5.83E+00,1.40E+02,1.08E-02,2.33E+01,7.35E-04,2.35E+01,2.12E-02,1.01E+01,1.99E-03,7.28E+00,1.25E-03,3,5,               
  08/03/2021 12:47:56.716,2.11E+00,9.87E-04,1.84E+04,4.04E+01,4.18E+02,2.55E+00,2.15E+00,1.08E-03,4.26E+02,2.61E+00,1.40E+02,1.24E-02,2.33E+01,1.56E-03,2.36E+01,2.05E-02,1.01E+01,1.06E-03,7.28E+00,1.89E-03,3,6,               
  08/03/2021 12:48:01.601,2.11E+00,1.17E-03,1.83E+04,9.08E+01,4.08E+02,3.01E+00,2.15E+00,1.34E-03,4.16E+02,3.08E+00,1.40E+02,1.79E-02,2.33E+01,2.10E-03,2.36E+01,1.90E-02,1.01E+01,1.54E-02,7.27E+00,7.80E-03,3,6,               
  08/03/2021 12:48:06.486,2.11E+00,5.20E-04,1.82E+04,5.39E+01,4.02E+02,1.28E+00,2.15E+00,5.76E-04,4.09E+02,1.32E+00,1.40E+02,2.28E-02,2.33E+01,2.27E-03,2.37E+01,1.95E-02,1.01E+01,1.54E-03,7.28E+00,1.85E-03,3,7,               
